DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE LOCAL,ESTADO,HORARIO DE ATENCION AL PUBLICO,DIRECCION,AÑO
LIMA,LIMA,SAN JUAN DE MIRAFLORES,OR SAN JUAN DE MIRAFLORES,OPERATIVO,08:45 a 16:45,Avenida Guillermo Billinghurst  N° 767 – 769 Mz. F Lote 18 Urb. SJM Parcela D,2024
LIMA,LIMA,SAN MARTÍN DE PORRES,OR SAN MARTIN DE PORRES,OPERATIVO,08:45 a 16:45,Avenida Eduardo de Habich Nº 590 - 592 con Pedro Paulet N° 589,2024
LIMA,CAJATAMBO,CAJATAMBO,AG CAJATAMBO,OPERATIVO,08:45 a 16:45,Jirón Bolognesi S/N - Comisiones de Regantes -Frente plaza de Armas,2024
LIMA,CANTA,CANTA,AG CANTA,OPERATIVO,08:45 a 16:45,Jirón Independencia Nº 308 Municipio (Plaza de Armas),2024
LIMA,CAÑETE,SAN VICENTE DE CAÑETE,AG CAÑETE,OPERATIVO,08:45 a 16:45,Avenida Los Libertadores Mz. D-3 Lote 4 Urbanización Tercer Mundo,2024
LIMA,HUAURA,HUACHO,AG HUACHO,OPERATIVO,08:45 a 16:45,Avenida Grau Nº 295,2024
LIMA,HUAROCHIRI,MATUCANA,AG MATUCANA,OPERATIVO,08:45 a 16:45,Jirón Tacna S/N  - Centro Civico,2024
LIMA,YAUYOS,YAUYOS,AG YAUYOS,OPERATIVO,08:45 a 16:45,Plaza Plaza Constitución Nº 110,2024
LIMA,HUARAL,HUARAL,AG HUARAL,OPERATIVO,08:45 a 16:45,Pasaje el Palmo esquina con Calle Huaquilla (DEMUNA HUARAL),2024
LIMA,BARRANCA,BARRANCA,OR BARRANCA,OPERATIVO,08:45 a 16:45,Avenida Independencia N° 674 - 676 - 678,2024
LIMA,OYON,OYON,AG OYON,OPERATIVO,08:45 a 16:45,Jirón Unión 216,2024
LIMA,LIMA,LURIGANCHO,OR CHOSICA,OPERATIVO,08:45 a 16:45,Jirón Chucuito Nº 248 ,2024
LIMA,LIMA,PACHACAMAC,OR PACHACAMAC,OPERATIVO,08:45 a 16:45,Avenida Paul Poblet N° 3111 - Dentro del Mercado Jumbo,2024
LIMA,LIMA,JESÚS MARÍA,OR JESUS MARIA,OPERATIVO,08:45 a 16:45,Jirón Talara N° 130-132-134 y 136 Jesús Maria,2024
LIMA,LIMA,CIENEGUILLA,OR CIENEGUILLA,OPERATIVO,08:45 a 16:45,"Avenida San Martin Lote 15, Zona ""D"" Manzana ""D"" Centro Poblado Tambo Viejo",2024
LIMA,LIMA,SANTA ANITA,OR SANTA ANITA,OPERATIVO,08:45 a 16:45,"Avenida Los Eucaliptos Nº 947, Urbanización Universal",2024
LIMA,LIMA,INDEPENDENCIA,OR INDEPENDENCIA,OPERATIVO,08:45 a 16:45,Calle Los Andes Nº 486 Urb. Industrial Panamericana Norte,2024
CALLAO,CALLAO,VENTANILLA,MAC - VENTANILLA,OPERATIVO,08:30 a 16:30,Avenida La Playa S/N altura la Urb. Zona Comercial frente a la Plaza Cívica ,2024
LIMA,LIMA,JESÚS MARÍA,AG 06 DE AGOSTO,OPERATIVO,08:45 a 16:45,Avenida 06 de Agosto N° 856,2024
CALLAO,CALLAO,MI PERÚ,PAP MI PERU,OPERATIVO,08:45 a 16:45, Mz. G7 Lt. 06 Mi Perú  interior de la Sede Municipal.,2024
LIMA,LIMA,SAN MARTÍN DE PORRES,ORA NACIONAL CAYETANO HEREDIA (MINSA),OPERATIVO,08:45 a 16:30,Jirón Honorio Delgado N° 262 - Urb. Ingeniería / Obstetricia,2024
LIMA,HUAURA,HUACHO,ORA HOSPITAL GENERAL DE HUACHO (MINSA),OPERATIVO,08:45 a 16:30,Avenida Jose Arnaldo Arambulo La Rosa N° 251,2024
CALLAO,CALLAO,CALLAO,OR CALLAO,OPERATIVO,08:45 a 16:45,Avenida Dos de Mayo N° 440 - 446,2024
LIMA,LIMA,SAN BORJA,AG ATENCIONES ESPECIALES DE SAN BORJA,OPERATIVO,08:45 a 16:45,Avenida Javier Prado N° 2388 -2386 - 2392,2024
LIMA,LIMA,EL AGUSTINO,MAC - LIMA ESTE,OPERATIVO,08:30 a 16:30,Avenida Carretera Central 111 Mall Aventura Santa Anita Nivel 2,2024
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,ORA HOSPITAL SAN JOSE (MINSA),OPERATIVO,08:45 a 16:30,Jirón Las Magnolias 475 Carmen de la Legua-Reynoso,2024
CALLAO,CALLAO,VENTANILLA,ORA HOSPITAL DE VENTANILLA (MINSA),OPERATIVO,08:45 a 16:30,Avenida Pedro Beltran S/N Ventanilla - Hospital de Ventanilla,2024
LIMA,CAÑETE,SAN LUIS,ORA HOSPITAL REZOLA (MINSA),OPERATIVO,08:45 a 16:30,Calle Distrito de San Luis S/N,2024
LIMA,BARRANCA,BARRANCA,ORA HOSPITAL DE BARRANCA (MINSA),OPERATIVO,08:45 a 16:30,Avenida Nicolás de Piérola Nº 210 -224,2024
LIMA,HUARAL,HUARAL,ORA HOSPITAL SAN JUAN BAUTISTA HUARAL (MINSA),OPERATIVO,08:45 a 16:30,Calle Tacna Nº 120 Urb. San Juan I,2024
LIMA,LIMA ,COMAS,ORA HOSPITAL NACIONAL SERGIO E. BERNALES (MINSA),OPERATIVO,08:45 a 16:30,"Avenida Túpac Amaru N° 8000, Collique, Comas.",2024
LIMA,LIMA,LIMA,ORA NACIONAL DOS DE MAYO (MINSA),OPERATIVO,08:45 a 16:30,Avenida Parque Historia De La Medicina Peruana S/N Altura Cuadra 13 Av Grau,2024
LIMA,LIMA,ATE ,ORA HOSPITAL DE HUAYCAN (MINSA),OPERATIVO,08:45 a 16:30,Avenida José C.Mariátegui S/N Zona B - A.H.Huaycán S/N Ate Lima Lima,2024
LIMA,LIMA,SAN JUAN DE MIRAFLORES,MAC - LIMA SUR,OPERATIVO,08:30 a 16:30,Avenida Circunvalación 1583- San Juan de Miraflores,2024
LIMA,LIMA,COMAS,MAC - LIMA NORTE,OPERATIVO,08:30 a 16:30,Avenida Los Angeles N° 602 2do piso - Cc Mall Plaza ,2024
LIMA,LIMA,JESUS MARIA,PVM - JESUS MARIA ,OPERATIVO,08:45 a 16:45,Jirón Talara N° 130,2024
LIMA,LIMA,SANTIAGO DE SURCO,PVM - JOCKEY PLAZA,OPERATIVO,08:45 a 16:45,Avenida Javier Prado Este N° 4200 ( Centro Financiero del Centro Comercial),2024
LIMA,LIMA,SURQUILLO,PVM - OPEN PLAZA ANGAMOS,OPERATIVO,08:45 a 16:45,Avenida Cruce Angamos N° 1805 con Tomas Marsano,2024
LIMA,LIMA,CHORRILLOS,PVM - PLAZA LIMA SUR,OPERATIVO,08:45 a 16:45, Prolongación Paseo  de la Republica S/N Urb. Matellini (2do nivel del Centro Comercial) ,2024
CALLAO,CALLAO,VENTANILLA,PVM - VENTANILLA,OPERATIVO,08:45 a 16:45,Avenida La Playa S/N altura la Urb. Zona Comercial frente a la Plaza Cívica ,2024
CALLAO,CALLAO,BELLAVISTA,PVM MALL AVENTURA PLAZA - CALLAO,OPERATIVO,08:45 a 16:45,Avenida Oscar R. Benavides N° 3866 - Centro Comercial Mall Aventura Plaza,2024
LIMA,LIMA,MIRAFLORES,PVM- MIRAFLORES,OPERATIVO,08:45 a 16:45,Avenida Diez Canseco N° 230,2024
LIMA,LIMA,INDEPENDENCIA,PVM - INDEPENDENCIA,OPERATIVO,08:45 a 16:45,Calle Los Andes Nº 486 Urb. Industrial Panamericana Norte,2024
